"filename", "language", "JSON", "JavaScript", "HTML", "vue", "CSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Index\element\LeftMenu.vue", "vue", 0, 0, 0, 257, 0, 0, 0, 0, 52, 309
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\Login.vue", "vue", 0, 0, 0, 503, 0, 0, 0, 11, 62, 576
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\WebMenu\WebCard.vue", "vue", 0, 0, 0, 129, 0, 0, 0, 0, 24, 153
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\src\views\WebMenu\WebMenu.vue", "vue", 0, 0, 0, 309, 0, 0, 0, 0, 49, 358
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\mageFrontEnd\vite.config.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\DataBase\SystemConfig.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\DataBase\SystemController.js", "JavaScript", 0, 482, 0, 0, 0, 0, 0, 32, 145, 659
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\DataBase\WebsiteController.js", "JavaScript", 0, 270, 0, 0, 0, 0, 0, 81, 60, 411
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\DataBase\systemData.json", "JSON", 312, 0, 0, 0, 0, 0, 0, 0, 0, 312
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\main.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\server\FrontServer\FrontServer.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 49, 36, 214
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\server\backEndServer\BackEndServer.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 2, 10, 69
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\server\backEndServer\server\FileServer.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 14, 20, 141
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\server\backEndServer\server\LoginServer.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 10, 18, 102
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\server\backEndServer\server\UserManageServer.js", "JavaScript", 0, 209, 0, 0, 0, 0, 0, 27, 67, 303
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\server\backEndServer\server\WebsiteListServer.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"f:\Work\GitHub\finalCmsV2\finalCmsV2\src\IDE\server\server\backEndServer\server\WebsiteManageServer.js", "JavaScript", 0, 362, 0, 0, 0, 0, 0, 39, 109, 510
